cycle,first(SEIR_maths).S,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).IR,first(SEIR_maths).RR,first(SEIR_maths).RR
0,100,200,0,0,2,40,0,0,0,0,1,20,0,0
1,100.5083492,201.0166983,0.304760867,6.095217332,0.357240353,7.144807066,1.063229358,21.26458716,0.44050416,8.810083209,0.440000077,8.800001548,0.80127746,16.02554919
2,101.3968734,202.7937468,0.174656356,3.493127111,0.065481722,1.309634441,1.408636293,28.17272587,0.275491106,5.509822127,0.224936856,4.498737112,1.319902559,26.39805118
3,102.3693906,204.7387813,0.078724286,1.574485715,0.012652838,0.253056768,1.516926199,30.33852397,0.142053483,2.841069659,0.119134885,2.382697696,1.580362472,31.60724943
4,103.359052,206.718104,0.032878449,0.657568989,0.002690843,0.05381686,1.539550912,30.79101824,0.070998903,1.419978068,0.064191639,1.283832786,1.694914098,33.89828195
5,104.3454182,208.6908364,0.013328714,0.266574274,0.000660486,0.01320971,1.529971611,30.59943221,0.036009411,0.720188211,0.035817583,0.71635167,1.73500329,34.7000658
6,105.3203494,210.6406988,0.005336434,0.106728676,0.000190872,0.003817438,1.508235353,30.16470706,0.018985961,0.379719213,0.02134365,0.426872994,1.738288773,34.76577546
7,106.2802044,212.5604087,0.002125148,0.042502966,6.3277E-05,0.001265541,1.482078289,29.64156578,0.010667331,0.213346623,0.014010046,0.280200929,1.723671923,34.47343846
8,107.2233656,214.4467313,0.000844359,0.016887173,2.29243E-05,0.000458485,1.454521579,29.09043158,0.006571283,0.131425658,0.010289373,0.205787453,1.700512374,34.01024748
9,108.1492018,216.2984035,0.000335152,0.006703044,8.71232E-06,0.000174246,1.426747847,28.53495694,0.004537567,0.090751349,0.008379796,0.167595922,1.67342956,33.4685912
10,109.0575706,218.1151412,0.000132981,0.002659612,3.38911E-06,6.77822E-05,1.399217157,27.98434314,0.003517395,0.070347904,0.007373708,0.147474151,1.644701215,32.89402429
11,109.9485718,219.8971436,5.27567E-05,0.001055134,1.33265E-06,2.6653E-05,1.372104733,27.44209467,0.002997586,0.059951725,0.00681761,0.136352201,1.61544868,32.30897361
12,110.822423,221.6448461,2.09295E-05,0.00041859,5.26581E-07,1.05316E-05,1.345473461,26.90946922,0.00272555,0.054511008,0.006485872,0.129717444,1.586221719,31.72443439
13,111.6793975,223.3587951,8.30333E-06,0.000166067,2.08532E-07,4.17065E-06,1.319341984,26.38683967,0.002576457,0.051529142,0.006266453,0.125329063,1.557287282,31.14574564
14,112.5197932,225.0395864,3.29434E-06,6.58868E-05,8.26652E-08,1.6533E-06,1.293711603,25.87423206,0.002488447,0.049768945,0.006103749,0.122074983,1.528772283,30.57544565
15,113.343917,226.687834,1.30711E-06,2.61421E-05,3.27856E-08,6.55711E-07,1.2685769,25.37153801,0.00243081,0.048616207,0.005970156,0.119403126,1.500734281,30.01468562
16,114.1520775,228.3041549,5.18657E-07,1.03731E-05,1.30062E-08,2.60125E-07,1.243929924,24.87859847,0.002388282,0.047765635,0.005851957,0.117039142,1.47319651,29.4639302
17,114.9445809,229.8891618,2.05815E-07,4.1163E-06,5.16042E-09,1.03208E-07,1.21976184,24.39523679,0.002353269,0.047065389,0.005742322,0.114846444,1.446165257,28.92330514
18,115.7217295,231.443459,8.16772E-08,1.63354E-06,2.04768E-09,4.09536E-08,1.19606358,23.9212716,0.002321998,0.04643996,0.005637841,0.112756824,1.419638491,28.39276982
19,116.4838204,232.9676408,3.24154E-08,6.48308E-07,8.12594E-10,1.62519E-08,1.172826094,23.45652188,0.002292593,0.04585185,0.005536802,0.110736038,1.393610153,27.87220305
20,117.2311455,234.462291,1.28656E-08,2.57311E-07,3.22489E-10,6.44978E-09,1.150040446,23.00080892,0.002264125,0.045282509,0.005438337,0.108766733,1.368072282,27.36144564
21,117.9639912,235.9279825,5.10661E-09,1.02132E-07,1.27993E-10,2.55985E-09,1.12769785,22.55395701,0.002236142,0.04472283,0.005341998,0.106839962,1.343016081,26.86032163
22,118.6826386,237.3652773,2.02704E-09,4.05407E-08,5.0802E-11,1.01604E-09,1.105789684,22.11579367,0.002208421,0.04416842,0.005247549,0.104950971,1.318432438,26.36864875
23,119.3873632,238.7747264,8.04665E-10,1.60933E-08,2.01652E-11,4.03305E-10,1.084307488,21.68614975,0.002180862,0.043617232,0.005154855,0.1030971,1.294312183,25.88624366
24,120.0784352,240.1568704,3.19443E-10,6.38886E-09,8.0048E-12,1.60096E-10,1.063242968,21.26485935,0.002153419,0.043068384,0.005063837,0.101276738,1.270646223,25.41292447
25,120.7561196,241.5122392,1.26822E-10,2.53645E-09,3.17777E-12,6.35554E-11,1.042587991,20.85175982,0.002126079,0.042521573,0.00497444,0.099488803,1.247425597,24.94851195
26,121.4206762,242.8413525,5.03526E-11,1.00705E-09,1.26159E-12,2.52318E-11,1.022334583,20.44669165,0.002098839,0.041976774,0.004886624,0.097732483,1.224641506,24.49283012
27,122.0723598,244.1447197,1.99927E-11,3.99854E-10,5.0089E-13,1.00178E-11,1.002474924,20.04949849,0.002071705,0.041434098,0.004800355,0.096007103,1.202285325,24.04570649
28,122.7114202,245.4228405,7.93858E-12,1.58772E-10,1.9888E-13,3.9776E-12,0.98300135,19.660027,0.002044686,0.040893715,0.004715603,0.094312065,1.180348606,23.60697211
29,123.3381024,246.6762048,3.15237E-12,6.30474E-11,7.897E-14,1.5794E-12,0.963906342,19.27812685,0.002017791,0.040355818,0.004632341,0.092646811,1.158823079,23.17646158
30,123.9526465,247.905293,1.25185E-12,2.5037E-11,3.136E-14,6.272E-13,0.945182533,18.90365065,0.00199103,0.039820604,0.00455054,0.091010808,1.13770065,22.75401299
