cycle,first(SEIR_maths).S,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).IR,first(SEIR_maths).RR,first(SEIR_maths).RR
0,100,200,0,0,2,40,0,0,0,0,1,20,0,0
1,100.4961452,200.9922903,0.307656086,6.153121725,0.372979207,7.459584135,1.042968153,20.85936307,0.443444576,8.868891525,0.440182417,8.803648345,0.80200915,16.040183
2,101.3666493,202.7332985,0.18479943,3.695988607,0.094778195,1.895563897,1.361996914,27.23993827,0.285512496,5.710249916,0.226132244,4.522644876,1.326103307,26.52206614
3,102.3176866,204.6353731,0.095029775,1.900595504,0.047600318,0.952006361,1.450915552,29.01831104,0.157942199,3.158843974,0.121793352,2.43586704,1.59817212,31.9634424
4,103.2844493,206.5688986,0.052854695,1.057093909,0.039344085,0.786881698,1.460078915,29.20157831,0.090362513,1.807250258,0.068148727,1.362974544,1.728813409,34.57626818
5,104.2475483,208.4950966,0.035074237,0.701484745,0.037405151,0.748103024,1.440654952,28.81309903,0.057071189,1.141423787,0.04068512,0.813702393,1.787470219,35.74940438
6,105.1993582,210.3987164,0.02773522,0.55470441,0.036408296,0.728165913,1.411144384,28.22288768,0.040697335,0.813946705,0.026763956,0.53527912,1.810352914,36.20705828
7,106.1364905,212.272981,0.02459712,0.49194241,0.035529028,0.710580561,1.378429924,27.56859849,0.032466042,0.649320847,0.019729332,0.394586636,1.815484752,36.30969504
8,107.0574505,214.114901,0.023109407,0.462188136,0.034665346,0.693306921,1.345095953,26.90191906,0.028171247,0.563424939,0.016149042,0.322980847,1.811740262,36.23480523
9,107.9616631,215.9233262,0.022265804,0.44531608,0.033814843,0.676296853,1.31210689,26.2421378,0.025799297,0.515985937,0.014287795,0.285755894,1.803489101,36.06978203
10,108.8490085,217.6980171,0.021675237,0.433504742,0.03298254,0.659650796,1.279811944,25.59623887,0.024376732,0.487534647,0.013279078,0.265581563,1.792890696,35.85781391
11,109.7195915,219.439183,0.021186717,0.423734349,0.032170998,0.643419963,1.248326321,24.96652643,0.023428399,0.468567978,0.012693073,0.253861453,1.781018559,35.62037119
12,110.5736256,221.1472512,0.020742102,0.414842045,0.031380935,0.627618693,1.217676553,24.35353106,0.02272066,0.454413203,0.012317207,0.24634415,1.768411321,35.36822642
13,111.4113756,222.8227513,0.020319004,0.406380073,0.030612221,0.612244422,1.187855967,23.75711934,0.022138006,0.442760121,0.012046443,0.240928857,1.755343394,35.10686787
14,112.2331288,224.4662576,0.019908775,0.398175495,0.029864396,0.597287922,1.158845851,23.17691703,0.021623063,0.432461265,0.011828855,0.236577091,1.74195827,34.83916541
15,113.0391804,226.0783608,0.019508043,0.39016086,0.029136883,0.582737654,1.13062351,22.61247019,0.021147192,0.422943834,0.011638746,0.232774918,1.72833431,34.5666862
16,113.8298268,227.6596535,0.019115458,0.382309166,0.028429074,0.568581481,1.103165304,22.06330608,0.020695994,0.413919889,0.011463378,0.229267554,1.714517275,34.2903455
17,114.6053619,229.2107238,0.018730445,0.374608903,0.027740366,0.554807326,1.076447789,21.52895577,0.020262152,0.405243043,0.011296419,0.225928375,1.700536454,34.01072907
18,115.3660756,230.7321513,0.018352724,0.367054475,0.02707017,0.541403408,1.05044812,21.0089624,0.01984187,0.396837409,0.011134711,0.222694216,1.686412668,33.72825336
